"token","freq"
"final three",2
"finally get",2
"finally got",2
"finally turned",2
"financial results",2
"find can",2
"find exactly",2
"find home",2
"find info",2
"find looking",2
"find new",2
"find something",2
"find us",2
"find way",8
"fine arts",3
"finished points",2
"finished third",2
"finished yards",2
"fire department",2
"fire quickly",2
"first amendment",3
"first blush",2
"first day",5
"first edition",2
"first energy",3
"first final",2
"first five",2
"first game",2
"first half",6
"first introduced",2
"first kiss",2
"first major",2
"first many",2
"first mothers",2
"first night",2
"first novel",2
"first pick",2
"first place",9
"first quarter",3
"first republic",2
"first responders",2
"first round",7
"first second",2
"first started",2
"first step",2
"first thought",3
"first three",2
"first time",30
"first trial",2
"first two",5
"first visit",2
"first week",5
"first will",2
"first world",3
"first year",3
"firstdegree murder",2
"firstround pick",4
"fiscal year",2
"fish top",2
"fishing camp",2
"fit nicely",2
"five minutes",3
"five shots",2
"five times",2
"five years",6
"five young",2
"flash drive",2
"flea market",4
"floating around",2
"florham park",2
"focus focus",2
"focused achieving",2
"folk art",2
"folks know",3
"follow back",6
"follow proper",2
"follow twitter",2
"follow us",2
"followers retweet",2
"following back",3
"following two",2
"following us",2
"fond memories",2
"food drug",3
"food products",2
"food truck",2
"foodie products",2
"football game",2
"football player",3
"football season",2
"for first",2
"for next",2
"for years",3
"foreign companies",2
"foreign minister",2
"foreign policy",4
"forget follow",2
"form government",2
"former chief",2
"former mayor",2
"former president",2
"former state",2
"forms syrup",2
"fort monroe",2
"forward player",4
"forward seeing",3
"found great",2
"found guilty",2
"found interesting",2
"found new",2
"found students",2
"found time",2
"four children",2
"four hours",2
"four us",2
"four weeks",3
"four years",7
"fourstar prospect",4
"fourth quarter",2
"fractional reserve",2
"fragrant minutes",2
"frankly ’m",2
"freckle face",2
"free admission",2
"free agency",3
"free agent",2
"free charge",2
"free classes",2
"free delivery",2
"free free",3
"free give",2
"free mind",3
"free range",2
"free throw",4
"free throws",3
"french flea",2
"fresh easy",2
"friday march",2
"friday night",6
"friday saturday",3
"fried chicken",2
